date,rank,source,target,attention
2019-05-24,2,Asset_19,Asset_4,0.031609
2019-05-24,3,Asset_2,Asset_4,0.031609
2019-05-24,4,Asset_6,Asset_4,0.031609
2019-05-24,5,Asset_8,Asset_4,0.031609
2019-05-27,1,Asset_25,Asset_4,0.031459
2019-05-27,2,Asset_29,Asset_4,0.031459
2019-05-27,3,Asset_1,Asset_4,0.031459
2019-05-27,4,Asset_11,Asset_4,0.031459
2019-05-27,5,Asset_14,Asset_4,0.031459
2019-05-28,1,Asset_16,Asset_2,0.031336
2019-05-28,2,Asset_20,Asset_2,0.031336
2019-05-28,3,Asset_5,Asset_2,0.031336
2019-05-28,4,Asset_11,Asset_2,0.031336
2019-05-28,5,Asset_21,Asset_2,0.031336
2019-05-29,1,Asset_7,Asset_3,0.031447
2019-05-29,2,Asset_0,Asset_3,0.031447
2019-05-29,3,Asset_4,Asset_3,0.031447
2019-05-29,4,Asset_18,Asset_3,0.031447
2019-05-29,5,Asset_16,Asset_3,0.031447
2019-05-30,1,Asset_15,Asset_28,0.031702
2019-05-30,2,Asset_13,Asset_28,0.031702
2019-05-30,3,Asset_31,Asset_28,0.031702
2019-05-30,4,Asset_6,Asset_28,0.031702
2019-05-30,5,Asset_20,Asset_28,0.031702
2019-05-31,1,Asset_14,Asset_2,0.031465
2019-05-31,2,Asset_27,Asset_2,0.031465
2019-05-31,3,Asset_6,Asset_2,0.031465
2019-05-31,4,Asset_9,Asset_2,0.031465
2019-05-31,5,Asset_24,Asset_2,0.031465
2019-06-03,1,Asset_26,Asset_2,0.031586
2019-06-03,2,Asset_28,Asset_2,0.031586
2019-06-03,3,Asset_29,Asset_2,0.031586
2019-06-03,4,Asset_0,Asset_2,0.031586
2019-06-03,5,Asset_4,Asset_2,0.031586
